id,target,feature01,feature02,feature03,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature10.1,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
22,170000,2.0,528.0,0,1053.0,1173,6,1173,7,6,1974,2,,dog,red,2,bad,good,3,1,1,2010,0,0,1974
23,216000,2.0,663.0,0,814.0,814,7,1674,7,5,2000,2,,,red,0,,good,3,1,1,2010,1,860,2000
24,149000,2.0,480.0,0,1004.0,1004,5,1004,6,7,1970,1,,,red,1,bad,bad,2,1,3,2010,0,0,1970
25,149900,2.0,500.0,0,1078.0,1078,6,1078,5,6,1971,1,,,red,1,okay,bad,3,1,4,2010,1,0,2008
26,142000,1.0,304.0,0,1056.0,1056,6,1056,5,6,1968,1,,,red,1,okay,bad,3,1,7,2010,0,0,1968
27,126000,2.0,525.0,0,882.0,882,4,882,4,5,1970,1,,dog,red,0,,bad,2,1,4,2010,0,0,1970
28,115000,0.0,0.0,0,864.0,864,5,864,4,5,1971,1,,,red,1,horrible,bad,3,1,4,2010,0,0,1971
29,184000,2.0,511.0,0,1405.0,1337,5,1337,7,5,1999,2,,,red,1,okay,good,2,1,6,2010,0,0,1999
30,96000,1.0,264.0,0,483.0,483,5,987,6,5,1971,1,,,red,0,,bad,2,1,2,2010,1,504,1971
31,105500,1.0,320.0,0,525.0,525,6,1092,5,5,1971,1,,,red,0,,bad,3,1,3,2010,1,567,1971
32,88000,1.0,264.0,0,525.0,525,6,1092,6,5,1971,1,,,red,0,,bad,3,1,3,2010,1,567,1971
33,127500,2.0,440.0,0,1069.0,1069,4,1069,6,5,1977,2,,,red,1,okay,bad,2,1,7,2010,0,0,1977
34,149900,2.0,440.0,0,855.0,855,6,1456,6,6,1975,2,,,red,1,bad,good,3,1,6,2010,1,601,1975
35,120000,1.0,308.0,0,836.0,836,4,836,7,6,1975,1,,,red,0,,bad,2,1,6,2010,0,0,1975
36,146000,2.0,440.0,0,855.0,855,7,1456,6,5,1978,2,,,red,1,bad,bad,3,1,7,2010,1,601,1978
37,376162,3.0,751.0,0,1590.0,1627,10,2334,9,5,2009,2,,,red,1,good,amazing,3,1,1,2010,1,707,2010
38,306000,3.0,772.0,0,1704.0,1704,7,1704,8,5,2007,2,,,red,1,good,good,3,1,5,2010,0,0,2008
39,395192,3.0,606.0,0,1930.0,1940,8,1940,9,5,2009,2,,,red,1,good,amazing,3,1,4,2010,1,0,2010
40,290941,3.0,868.0,0,1544.0,1544,7,1544,8,5,2009,2,,,red,0,,good,3,1,6,2010,0,0,2010
41,220000,2.0,532.0,0,1541.0,1541,7,1541,7,5,2005,2,,,red,1,good,good,3,1,5,2010,0,0,2005
42,275000,3.0,730.0,0,1698.0,1698,7,1698,9,5,2005,2,,,red,1,good,amazing,3,1,6,2010,0,0,2005
43,259000,3.0,678.0,0,1822.0,1822,8,1822,8,5,2005,2,,,red,1,good,amazing,3,1,2,2010,0,0,2006
44,214000,2.0,532.0,0,1517.0,1535,7,1535,7,5,2004,2,,,red,0,,good,3,1,3,2010,0,0,2004
45,611657,3.0,820.0,0,2330.0,2364,11,2364,9,5,2009,2,,,red,2,good,amazing,2,1,3,2010,1,0,2010
46,224000,2.0,484.0,0,1358.0,1358,6,1358,7,5,2009,2,,,red,1,good,good,2,1,6,2010,0,0,2010
47,500000,3.0,958.0,0,2846.0,2696,10,2696,9,5,2003,2,,,red,2,good,amazing,3,1,6,2010,1,0,2004
48,320000,3.0,756.0,0,1671.0,1687,7,2250,8,5,2002,2,,,red,1,amazing,good,3,1,6,2010,1,563,2002
49,319900,2.0,576.0,0,1752.0,1752,6,1752,9,5,2005,2,,,red,1,good,amazing,2,1,2,2010,0,0,2005
50,205000,2.0,484.0,0,1370.0,1370,6,1370,8,5,2006,2,,,red,1,good,good,2,1,4,2010,0,0,2006
51,175500,2.0,474.0,0,764.0,764,6,1626,7,5,2003,2,,,red,0,,good,2,1,6,2010,1,862,2003
52,199500,2.0,430.0,0,1324.0,1324,6,1324,6,5,2005,2,,,red,0,,good,3,1,1,2010,0,0,2005
53,160000,2.0,437.0,0,1145.0,1145,6,1145,7,5,2006,2,,,red,0,,good,2,1,1,2010,0,0,2006
54,192000,2.0,430.0,0,1256.0,1269,6,1269,8,5,2004,2,,,red,1,bad,good,2,1,4,2010,0,0,2005
55,184500,2.0,400.0,0,384.0,744,7,1374,7,5,2004,2,,,red,1,good,good,3,1,6,2010,1,630,2004
56,216500,2.0,440.0,0,860.0,860,8,1960,6,5,2002,2,,,red,2,bad,good,4,1,5,2010,1,1100,2002
57,185088,2.0,433.0,0,847.0,847,7,1733,7,5,2004,2,,,red,1,good,good,3,1,4,2010,1,886,2004
58,180000,2.0,400.0,0,384.0,774,7,1430,7,5,2000,2,,,red,1,bad,bad,3,1,4,2010,1,656,2000
59,222500,2.0,434.0,0,884.0,884,8,2035,7,5,2001,2,,,red,1,good,good,3,1,5,2010,1,1151,2001
60,333168,3.0,779.0,0,1393.0,1422,10,2599,9,5,1999,2,,,red,1,bad,good,4,1,5,2010,1,1177,1999
61,355000,3.0,962.0,0,1629.0,1645,7,2475,8,5,1998,2,,,red,1,bad,good,4,1,1,2010,1,830,1998
62,260400,2.0,527.0,0,1720.0,1720,7,1720,7,5,1996,2,,,red,1,bad,good,3,1,3,2010,0,0,1996
63,325000,2.0,712.0,0,1463.0,1500,9,2622,8,5,1994,2,,,red,2,bad,good,3,1,4,2010,1,1122,1995
64,290000,3.0,671.0,0,1152.0,1164,9,2270,8,7,1999,2,,,red,1,good,good,4,1,4,2010,1,1106,2007
65,221000,2.0,486.0,0,1195.0,1195,7,1839,7,5,1998,2,,,red,0,,bad,4,1,6,2010,1,644,1998
66,410000,3.0,666.0,0,2033.0,2053,9,3238,8,5,1995,2,,,red,1,amazing,good,4,1,3,2010,1,1185,1996
67,221500,3.0,880.0,0,1595.0,1595,6,1595,8,5,2005,2,,,red,1,good,good,2,1,5,2010,0,0,2006
68,204500,2.0,676.0,0,1218.0,1218,4,1218,7,5,2009,2,,,red,0,,good,2,1,4,2010,0,0,2010
69,215200,2.0,614.0,0,756.0,764,7,1547,7,5,2009,2,,,red,0,,good,3,1,6,2010,1,783,2009
70,262500,2.0,750.0,0,1566.0,1566,7,1566,8,5,2008,2,,,red,0,,good,3,1,4,2010,0,0,2008
71,254900,2.0,678.0,0,991.0,991,8,1947,7,5,2004,2,,cow,red,1,good,good,3,1,5,2010,1,956,2005
72,271500,2.0,528.0,0,1468.0,1468,6,1468,6,5,2005,2,,,red,1,good,good,2,1,5,2010,0,0,2005
73,233000,2.0,618.0,0,956.0,956,8,2084,7,5,2004,2,,,red,0,,good,4,1,1,2010,1,1128,2004
74,181000,2.0,484.0,0,831.0,831,8,1659,7,5,2004,2,,,red,0,,good,3,1,4,2010,1,828,2004
75,205000,2.0,463.0,0,948.0,1222,8,2110,7,5,1994,2,,,red,2,okay,good,3,1,5,2010,1,888,2002
76,143000,1.0,264.0,0,923.0,923,5,923,6,5,1980,2,,,red,1,bad,bad,2,1,5,2010,0,0,1980
77,189000,2.0,462.0,0,1055.0,1055,8,1845,6,5,1992,2,,cat,red,1,bad,good,3,1,5,2010,1,790,1992
78,99500,1.0,264.0,0,918.0,918,5,918,6,5,1979,2,,,red,1,bad,bad,2,1,4,2010,0,0,1979
79,125000,1.0,264.0,0,744.0,752,4,752,6,5,1984,1,,dog,red,0,,bad,2,1,2,2010,0,0,1984
80,194500,2.0,457.0,0,996.0,1014,7,1744,7,7,1993,2,,,red,0,,good,3,1,2,2010,1,730,2003
81,152000,2.0,480.0,0,1040.0,1097,6,1097,6,5,1984,2,,cat,red,0,,bad,3,1,5,2010,0,0,1985
82,171000,2.0,476.0,0,650.0,888,7,1564,6,6,1980,2,,dog,red,1,bad,bad,3,1,4,2010,1,676,1981
83,67500,1.0,429.0,0,816.0,1012,5,1012,5,5,1920,1,,,blue,0,,bad,2,1,4,2010,0,0,1950
84,112000,2.0,539.0,0,0.0,1318,8,1902,6,5,1978,2,,,red,0,,bad,4,2,4,2010,0,584,1978
85,148000,2.0,576.0,0,1109.0,1155,6,1155,5,7,1961,1,,dog,red,0,,good,3,1,6,2010,0,0,1995
86,138500,1.0,336.0,0,894.0,894,5,894,5,8,1965,1,,dog,red,1,good,bad,3,1,4,2010,0,0,2009
87,122000,1.0,280.0,0,882.0,900,5,900,5,5,1967,1,,dog,red,0,,bad,3,1,2,2010,0,0,1967
88,133000,1.0,308.0,0,1040.0,1040,5,1040,5,5,1963,1,,dog,red,0,,bad,3,1,6,2010,1,0,1963
89,127000,1.0,260.0,0,1040.0,1040,6,1040,5,8,1962,1,,,red,0,,bad,3,1,4,2010,1,0,2010
90,169000,2.0,461.0,0,1208.0,1494,7,1494,6,6,1974,2,,cat,red,2,okay,bad,3,1,4,2010,0,0,2002
91,190000,2.0,564.0,0,750.0,1061,8,1923,7,5,1992,2,,,red,1,bad,good,3,1,6,2010,1,862,1992
92,362500,3.0,762.0,0,1231.0,1251,9,2349,8,5,1993,2,,,red,1,bad,good,4,1,6,2010,1,1098,1993
93,285000,3.0,713.0,0,1390.0,1402,7,2225,8,5,1992,2,,,red,1,bad,good,4,1,6,2010,1,823,1993
94,260000,2.0,506.0,0,1488.0,1488,6,1488,7,5,2004,2,,,red,1,good,good,2,1,3,2010,0,0,2005
95,190000,2.0,588.0,0,840.0,840,3,1680,7,5,2004,2,Pave,,red,0,,good,2,1,1,2010,1,840,2004
96,155000,2.0,480.0,0,600.0,600,4,1200,7,5,2004,2,Pave,,red,0,,good,2,1,4,2010,1,600,2004
97,151000,2.0,480.0,0,600.0,600,4,1200,7,5,2004,2,Pave,,red,0,,good,2,1,6,2010,1,600,2005
98,149500,2.0,480.0,0,600.0,600,4,1200,7,5,2004,2,Pave,,red,0,,good,2,1,2,2010,1,600,2005
99,152000,2.0,480.0,0,600.0,600,4,1236,6,5,2005,2,Pave,,red,0,,good,2,1,5,2010,1,636,2005
100,222000,2.0,484.0,0,1470.0,1478,7,1478,7,5,2009,2,,,red,1,good,good,2,1,6,2010,1,0,2009
101,177500,2.0,440.0,0,756.0,769,5,1573,6,5,2000,2,,,red,0,,good,3,1,6,2010,1,804,2000
102,177000,2.0,440.0,0,756.0,756,5,1512,6,5,2000,2,,,red,0,,good,2,1,5,2010,1,756,2000
103,155000,2.0,484.0,0,696.0,696,6,1416,7,5,1999,2,,,red,0,,good,3,1,5,2010,1,720,1999
104,147110,2.0,496.0,0,530.0,530,4,1080,7,5,2003,2,,,red,0,,good,2,1,6,2010,1,550,2003
105,267916,3.0,852.0,0,1642.0,1418,6,1418,8,5,2010,1,Pave,,red,1,good,good,1,1,4,2010,1,0,2010
106,254000,2.0,592.0,0,975.0,975,7,1848,8,5,2000,2,,,red,1,bad,good,3,1,4,2010,1,873,2000
107,155000,2.0,484.0,0,728.0,788,3,788,8,5,1980,1,,,red,1,bad,good,1,1,6,2010,0,0,1980
108,206000,2.0,484.0,0,1226.0,1226,4,1226,8,6,1978,1,,,red,1,bad,good,1,1,1,2010,0,0,1978
109,130500,2.0,475.0,0,725.0,725,6,1479,6,8,1976,2,,,red,0,,good,3,1,3,2010,1,754,2005
110,230000,2.0,596.0,0,1492.0,1492,6,1492,7,5,2002,2,,,red,1,good,good,3,1,4,2010,0,0,2002
111,218500,2.0,535.0,0,1829.0,1829,8,1829,6,6,1967,2,,,red,0,,bad,4,1,5,2010,0,0,1967
112,243500,2.0,660.0,0,1280.0,1280,9,2495,6,5,1993,2,,,red,1,bad,good,4,1,3,2010,1,1215,1993
113,205000,2.0,480.0,0,1610.0,1610,6,1610,6,7,1977,2,,,red,2,bad,good,3,1,2,2010,0,0,2001
114,212500,2.0,678.0,0,1224.0,1287,7,1891,6,5,1978,3,,,red,1,bad,bad,3,1,4,2010,0,604,1978
115,196500,2.0,496.0,0,980.0,980,7,1714,7,5,1988,2,,dog,red,1,bad,bad,3,1,3,2010,1,734,1988
116,197500,2.0,676.0,0,1161.0,1381,5,1381,6,7,1972,1,,,red,1,bad,good,3,1,3,2010,1,0,2006
117,171000,2.0,441.0,0,715.0,930,7,1645,6,6,1971,1,,cow,red,0,,bad,4,1,6,2010,2,715,1971
118,142250,2.0,490.0,0,1232.0,1232,6,1232,5,5,1966,1,,,red,0,,bad,3,1,4,2010,1,0,1966
119,143000,2.0,528.0,0,1328.0,1328,6,1328,6,5,1963,1,,,red,2,good,bad,3,1,6,2010,1,0,1963
120,128950,0.0,0.0,0,950.0,1225,6,1225,4,5,1959,1,,,red,0,,bad,3,1,1,2010,1,0,1959
121,159000,2.0,504.0,0,1209.0,1209,6,1209,5,5,1966,1,,,red,0,,bad,3,1,4,2010,0,0,1966
122,178900,2.0,517.0,0,1510.0,1510,6,1510,5,6,1967,2,,cat,red,0,,good,3,1,4,2010,0,0,1967
123,136300,2.0,480.0,0,533.0,1131,8,1775,6,5,1964,2,Pave,,red,0,,bad,3,1,5,2010,0,644,1964
124,180500,2.0,484.0,0,1152.0,1152,6,1152,5,7,1964,1,,,red,1,good,bad,3,1,4,2010,0,0,1964
125,137500,2.0,480.0,0,936.0,1054,6,1054,6,7,1963,1,,dog,red,0,,good,3,1,5,2010,0,0,1963
126,84900,0.0,0.0,0,1728.0,1728,10,1728,5,6,1962,2,,,red,0,,bad,6,2,1,2010,0,0,2001
127,142125,1.0,240.0,0,1078.0,1078,5,1078,5,6,1950,1,,,blue,0,,good,2,1,4,2010,0,0,1996
128,197600,2.0,400.0,0,1140.0,1929,7,2461,5,7,1952,2,,cow,red,2,good,bad,3,1,3,2010,0,532,2002
129,172500,2.0,470.0,0,782.0,1019,6,1556,6,6,1949,2,,,red,1,good,bad,3,1,1,2010,0,537,1950
130,116500,0.0,0.0,0,858.0,858,4,858,5,7,1958,1,,,red,0,,bad,2,1,2,2010,0,0,2008
131,76500,0.0,0.0,0,728.0,1306,6,1306,3,2,1940,1,,cow,red,0,,okay,3,1,5,2010,0,0,1966
132,128000,1.0,280.0,0,1056.0,1063,6,1063,5,5,1954,1,,dog,red,0,,bad,3,1,2,2010,0,0,1954
133,153000,1.0,364.0,0,1156.0,1520,7,1520,6,6,1955,1,,,red,2,good,bad,3,1,3,2010,0,0,1972
134,132000,1.0,244.0,0,1268.0,1268,7,1268,5,6,1954,1,,,red,1,good,bad,2,1,3,2010,0,0,1954
135,178000,1.0,315.0,0,1080.0,1128,5,1128,6,8,1966,1,,,red,1,good,good,2,1,1,2010,0,0,2008
136,154300,2.0,480.0,0,1105.0,1105,12,2274,5,5,1960,2,,,blue,0,,bad,5,2,1,2010,0,1169,1960
137,180000,2.0,576.0,0,1947.0,2207,7,2207,7,5,1970,2,,,red,1,good,bad,3,1,7,2010,0,0,1989
138,190000,2.0,578.0,0,1517.0,1888,6,1888,6,6,1966,2,,,red,1,good,good,2,1,6,2010,1,0,2002
139,135000,2.0,576.0,0,1604.0,1604,8,1604,5,5,1958,2,,,red,0,,bad,4,2,3,2010,0,0,1958
140,214000,2.0,620.0,0,1480.0,1480,7,1480,7,5,2003,2,,dog,red,0,,good,3,1,2,2010,0,0,2009
141,136000,1.0,308.0,0,1143.0,1143,6,1143,5,5,1959,1,,cat,red,0,,bad,3,1,5,2010,0,0,1959
142,165500,2.0,447.0,0,1398.0,1700,6,1700,5,5,1959,1,,,red,1,good,good,4,1,4,2010,1,0,1959
143,145000,1.0,294.0,0,1314.0,1314,5,1314,5,6,1957,1,,,red,0,,bad,3,1,6,2010,0,0,1957
144,148000,1.0,312.0,0,1194.0,1194,6,1194,6,6,1959,1,,,red,0,,bad,3,1,4,2010,0,0,1959
145,142000,2.0,531.0,0,1188.0,1188,6,1188,5,5,1959,1,,dog,red,0,,bad,3,1,5,2010,0,0,1959
146,167500,2.0,461.0,0,1268.0,1264,6,1264,5,5,1960,1,,,red,2,good,bad,3,1,4,2010,0,0,1960
147,108538,1.0,312.0,0,1206.0,1206,6,1206,5,5,1959,1,,,red,0,,bad,3,1,5,2010,0,0,1959
148,159500,2.0,440.0,0,1244.0,1580,6,1580,6,5,1959,1,,cow,red,2,good,bad,3,1,6,2010,1,0,1959
149,108000,1.0,263.0,0,832.0,832,5,1337,4,5,1956,1,,,blue,0,,bad,3,1,2,2010,0,505,1956
150,135000,1.0,318.0,0,864.0,1064,4,1064,5,7,1952,1,,,red,0,,okay,2,1,5,2010,0,0,1952
151,122500,1.0,305.0,0,972.0,972,5,972,5,6,1955,1,,cow,red,0,,bad,3,1,6,2010,0,0,1955
152,119000,1.0,264.0,0,988.0,988,5,988,5,5,1958,1,,,red,0,,bad,2,1,4,2010,0,0,1958
153,109000,1.0,246.0,0,1057.0,1057,5,1057,5,7,1953,1,,,red,0,,good,3,1,1,2010,0,0,2007
154,105000,2.0,676.0,0,576.0,985,4,985,4,7,1920,1,,,red,0,,bad,2,1,4,2010,0,0,1994
155,107500,1.0,392.0,0,0.0,827,5,827,5,7,1955,1,,,red,1,horrible,bad,2,1,4,2010,0,0,2007
156,144900,2.0,490.0,0,1086.0,1086,6,1086,5,7,1954,1,,cow,red,0,,bad,3,1,5,2010,0,0,2003
157,129000,1.0,308.0,0,936.0,936,4,936,5,7,1956,1,,,red,0,,bad,2,1,5,2010,0,0,2000
158,97500,1.0,330.0,0,912.0,912,6,1458,6,5,1948,1,,,red,1,good,bad,3,1,1,2010,0,546,1950
159,144000,2.0,576.0,0,1056.0,1056,4,1056,6,5,1980,0,,cat,red,0,,bad,0,2,6,2010,0,0,1980
160,162000,2.0,576.0,0,1063.0,1287,7,1287,5,7,1959,1,,,red,1,good,good,3,1,3,2010,0,0,2006
161,242000,2.0,564.0,0,710.0,1898,11,2978,7,7,1967,2,,,red,1,good,good,5,1,6,2010,1,1080,2007
162,132000,1.0,280.0,0,816.0,816,5,1224,6,8,1948,1,,cow,red,0,,bad,3,1,5,2010,0,408,2004
163,154000,1.0,305.0,0,1246.0,1246,6,1246,5,7,1959,1,,cat,red,0,,good,3,1,5,2010,1,0,1994
164,166000,2.0,720.0,0,910.0,910,6,1385,5,4,1952,2,,dog,red,0,,bad,4,1,6,2010,0,475,1952
165,134800,2.0,576.0,0,900.0,900,5,900,5,7,1951,1,,,red,0,,good,3,1,5,2010,0,0,2000
166,160000,2.0,440.0,0,1116.0,1116,5,1116,6,6,1962,1,,,red,0,,bad,3,1,2,2010,1,0,1962
167,148000,2.0,484.0,0,1175.0,1175,6,1175,5,6,1960,1,,,red,0,,bad,3,1,6,2010,1,0,1960
168,192000,2.0,440.0,0,1395.0,1395,7,1395,6,7,1963,1,,,red,1,bad,bad,2,1,5,2010,0,0,1984
169,155000,2.0,442.0,0,756.0,1051,7,1839,6,5,1966,1,,,red,1,bad,bad,4,1,6,2010,1,788,1966
170,80400,1.0,240.0,0,709.0,1157,9,1844,4,5,1900,1,,,red,2,good,bad,3,1,1,2010,0,687,1954
171,96500,0.0,0.0,0,576.0,792,7,1140,4,7,1910,1,Grvl,,red,0,,bad,3,1,6,2010,0,348,2004
172,109500,0.0,0.0,0,936.0,936,5,936,5,7,1920,1,Grvl,dog,red,1,good,bad,2,1,5,2010,0,0,1950
173,115000,2.0,360.0,0,1008.0,1028,5,1028,5,6,1927,1,Grvl,,blue,1,good,bad,2,1,3,2010,0,0,1950
174,143000,2.0,551.0,0,1347.0,1347,6,1347,5,7,1957,1,Grvl,,red,0,,good,3,1,6,2010,0,0,1957
175,107400,1.0,379.0,0,840.0,840,8,1605,3,6,1915,2,,,red,0,,bad,3,2,5,2010,0,765,1950
176,80000,1.0,220.0,0,747.0,747,4,747,4,6,1945,1,,,red,0,,bad,2,1,6,2010,0,0,1950
177,119000,1.0,240.0,0,788.0,804,4,804,5,7,1940,1,,dog,red,2,good,good,2,1,2,2010,0,0,1992
178,130000,2.0,484.0,0,926.0,926,6,1316,5,7,1929,1,,,red,0,,bad,3,1,4,2010,0,0,2001
179,119000,1.0,240.0,0,827.0,827,6,1251,6,7,1938,1,,,red,0,,okay,3,1,1,2010,0,424,2000
180,129000,1.0,240.0,0,1027.0,1027,7,1633,5,7,1948,1,,,red,1,good,good,3,1,6,2010,0,606,2009
181,100000,1.0,315.0,0,1008.0,1060,6,1245,5,6,1920,1,,,red,0,,bad,3,1,3,2010,0,185,1962
182,12789,2.0,780.0,0,678.0,832,5,832,2,2,1923,1,,,red,1,good,bad,2,1,6,2010,0,0,1970
183,105900,2.0,484.0,0,624.0,720,5,720,6,8,1928,1,,,red,0,,bad,2,1,5,2010,0,0,2003
184,150000,1.0,288.0,0,930.0,930,7,1566,8,9,1900,2,Grvl,,red,0,,good,3,1,4,2010,0,636,2003
185,139000,1.0,416.0,0,686.0,966,7,1652,5,6,1915,2,,,red,0,,bad,4,1,6,2010,0,686,1950
186,240000,2.0,624.0,0,346.0,1157,7,2268,8,9,1890,3,Grvl,,red,0,,good,3,1,4,2010,0,1111,2002
187,76500,0.0,0.0,0,840.0,1128,12,2256,5,3,1910,2,,,green,0,,okay,4,2,6,2010,0,1128,1950
188,149700,2.0,923.0,0,912.0,1236,6,1236,6,7,1957,1,,dog,blue,0,,bad,2,1,4,2010,0,0,1996
189,125500,2.0,528.0,0,622.0,741,6,1363,4,7,1910,1,,,red,0,,bad,3,1,6,2010,0,622,1950
190,122500,2.0,560.0,0,777.0,1246,11,2290,4,6,1885,2,,,red,0,,bad,4,2,4,2010,0,1044,1950
191,140750,2.0,624.0,0,738.0,868,6,1470,6,7,1922,1,,,red,0,,bad,2,1,6,2010,1,602,1994
192,128500,1.0,363.0,0,988.0,1030,7,1612,5,6,1950,1,,dog,red,0,,bad,3,1,3,2010,1,582,1997
193,209500,1.0,315.0,0,1108.0,1160,8,2068,7,7,1922,1,,,blue,1,good,good,3,1,5,2010,1,908,2005
194,87000,1.0,200.0,0,765.0,765,4,765,4,7,1925,1,,dog,green,0,,good,2,1,4,2010,0,0,1950
195,134000,1.0,240.0,0,608.0,608,5,1132,6,7,1939,1,,dog,red,0,,bad,2,1,4,2010,0,524,1950
196,128000,2.0,576.0,0,572.0,848,6,1196,6,6,1940,1,,,blue,2,good,bad,3,1,3,2010,1,348,1950
197,132000,1.0,240.0,0,835.0,955,7,1453,5,6,1942,1,,,blue,2,okay,good,3,1,3,2010,1,498,1950
198,139900,1.0,312.0,0,780.0,780,6,1416,6,7,1948,1,,,red,0,,bad,3,1,3,2010,1,636,1950
199,123900,2.0,624.0,0,528.0,548,5,1040,5,7,1936,1,,,red,0,,bad,2,1,5,2010,0,492,1980
200,138400,2.0,480.0,0,928.0,928,7,1536,5,5,1930,2,,dog,green,1,good,bad,4,1,3,2010,0,608,1950
201,109500,1.0,288.0,0,1124.0,1068,5,1068,6,5,1923,1,,,red,1,good,bad,2,1,3,2010,0,0,1950
202,140000,2.0,480.0,0,576.0,902,9,1710,7,6,1921,2,,cat,red,0,,bad,3,1,4,2010,0,808,1950
203,149500,2.0,572.0,0,888.0,888,9,1962,4,5,1915,1,Grvl,cat,red,1,bad,bad,4,1,6,2010,1,1074,1950
204,159900,0.0,0.0,0,780.0,780,7,1560,6,8,1912,1,Grvl,,red,0,,good,3,1,5,2010,1,780,2009
205,122000,1.0,180.0,0,662.0,662,6,1324,6,8,1920,1,Grvl,cat,red,0,,bad,3,1,2,2010,0,662,1993
206,110000,2.0,516.0,0,816.0,816,5,816,5,5,1963,1,,,red,0,,bad,2,1,5,2010,0,0,1963
207,55000,0.0,0.0,0,0.0,372,7,1092,4,5,1930,2,,,red,0,,okay,3,2,7,2010,0,720,1950
208,140000,2.0,672.0,0,360.0,1032,8,1812,5,9,1900,2,,dog,red,1,horrible,good,4,2,5,2010,0,780,1996
209,244400,1.0,349.0,0,1032.0,1207,10,2403,7,7,1940,2,,,red,2,bad,bad,4,1,6,2010,0,1196,1950
210,173000,1.0,365.0,0,1422.0,1675,8,1675,5,5,1959,2,,,red,2,good,bad,3,1,5,2010,0,0,1959
211,107500,1.0,180.0,0,689.0,725,6,1224,5,3,1917,1,,,red,0,,horrible,3,1,1,2010,1,499,1950
212,100000,0.0,0.0,0,1212.0,1212,6,1392,5,4,1915,1,,,red,0,,bad,3,1,2,2010,0,180,1950
213,95000,1.0,231.0,0,600.0,600,5,919,6,5,1940,1,,dog,red,0,,bad,3,1,3,2010,0,319,1950
214,93369,0.0,0.0,0,707.0,942,7,1884,4,1,1907,1,,,red,0,,bad,4,1,3,2010,1,942,1950
215,114900,2.0,450.0,0,856.0,936,7,1680,5,7,1910,2,,,red,1,good,bad,2,2,6,2010,0,744,1950
216,94000,0.0,0.0,0,780.0,780,6,1020,5,8,1875,1,,,red,0,,bad,2,1,5,2010,0,240,1996
217,136000,0.0,0.0,0,1832.0,1832,8,1832,4,3,1967,2,,,red,0,,bad,4,2,5,2010,0,0,1967
218,136500,0.0,0.0,0,1768.0,1768,8,1768,4,5,1968,2,,,red,0,,bad,4,2,4,2010,0,0,1968
